                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0772,                 4.0775,                 1.5108,                 0.0077,                0.29484,                0.18893,                0.13058,                 1.4385,                 4.0604,                 1.1126,             0.00016665,             0.00016665,             0.00016665
                      2,                 1.4716,                 2.2769,                 1.1176,                      1,                0.07089,                0.35838,                0.23959,                  1.811,                 3.4213,                 1.3348,               0.000341,               0.000341,               0.000341
                      3,                 1.2926,                 1.3073,                 1.0226,                0.02148,                0.90855,                0.80885,                0.51265,                 1.2135,                 2.9974,                 1.0246,             0.00051183,             0.00051183,             0.00051183
                      4,                 1.1984,                  1.083,                 0.9938,                0.99705,                0.23358,                0.95353,                0.65281,                 1.1252,                 2.6347,                0.98577,             0.00067914,             0.00067914,             0.00067914
                      5,                 1.1171,                0.95364,                0.97354,                0.99777,                 0.4207,                0.95193,                0.65633,                 1.0881,                 2.3737,                0.98243,             0.00084293,             0.00084293,             0.00084293
                      6,                 1.1229,                0.92754,                0.98391,                0.94324,                0.62514,                0.97638,                0.66501,                 1.0772,                 1.8585,                 0.9874,              0.0010032,              0.0010032,              0.0010032
                      7,                 1.1134,                0.89054,                0.96801,                0.97882,                0.94923,                0.98339,                0.68505,                 1.0722,                 1.2264,                0.97854,               0.001045,               0.001045,               0.001045
                      8,                 1.0777,                0.83968,                0.95549,                0.99015,                 0.9697,                0.98364,                0.67957,                 1.0685,                0.94557,                0.97712,               0.001045,               0.001045,               0.001045
                      9,                 1.0658,                0.81086,                0.98388,                 0.9922,                 0.9757,                0.98396,                0.67588,                 1.0878,                 0.8096,                0.98401,               0.001034,               0.001034,               0.001034
                     10,                 1.0553,                0.76365,                0.95551,                0.99066,                0.98472,                0.98383,                 0.6686,                 1.1207,                0.81603,                0.98785,               0.001023,               0.001023,               0.001023
                     11,                 1.1169,                0.76146,                0.97459,                0.98795,                0.98759,                0.98595,                0.67017,                 1.0999,                0.84931,                0.99043,               0.001012,               0.001012,               0.001012
                     12,                 1.1122,                0.76729,                 0.9771,                0.98566,                0.98916,                 0.9862,                0.69356,                 1.0585,                0.71467,                0.97563,               0.001001,               0.001001,               0.001001
                     13,                 1.0778,                0.73428,                0.95494,                0.99221,                0.98405,                0.98777,                0.69692,                 1.0362,                0.68446,                0.96155,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.0597,                0.73926,                0.97136,                0.99064,                0.98554,                0.98789,                0.69057,                 1.0366,                0.70643,                 0.9663,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.0152,                0.67733,                0.94309,                0.99358,                0.98804,                0.98942,                0.70746,                 1.0165,                0.63667,                0.95955,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.0425,                0.68376,                0.94851,                0.99373,                0.98795,                0.99015,                0.70387,                 1.0213,                0.64366,                0.95768,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.0336,                0.65408,                0.95069,                0.99286,                0.98815,                0.98974,                0.68982,                 1.0232,                0.64672,                0.95634,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.0437,                0.66323,                0.96531,                0.98895,                0.98639,                0.98907,                0.70773,                 1.0092,                0.61917,                0.95022,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.0243,                0.64095,                0.95929,                0.99497,                0.98691,                0.98772,                0.69963,                 1.0243,                 0.6319,                0.95791,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.0343,                0.63631,                  0.939,                0.99613,                0.98698,                0.98715,                0.70161,                 1.0082,                0.61256,                0.95461,             0.00091302,             0.00091302,             0.00091302
                     21,                  1.045,                0.63335,                0.95938,                0.99246,                0.99027,                 0.9912,                0.71261,                0.99956,                0.59332,                0.95131,             0.00090202,             0.00090202,             0.00090202
                     22,                0.99856,                0.61408,                0.94592,                0.99617,                0.98721,                0.99189,                0.70692,                 1.0122,                0.57836,                0.95379,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.0121,                0.59804,                0.93636,                0.98841,                0.98809,                 0.9909,                0.71649,                0.98511,                0.59073,                0.94694,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.0197,                0.59872,                0.94143,                0.99401,                0.98674,                0.99005,                0.71146,                 1.0051,                0.58006,                0.95217,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.0202,                0.57907,                 0.9608,                0.99494,                0.98777,                0.99132,                0.71901,                0.99276,                0.55227,                0.94924,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.0098,                0.58773,                0.95697,                0.99529,                0.98784,                0.99093,                0.71549,                 0.9881,                0.54756,                0.94687,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.0175,                0.56693,                0.94543,                 0.9957,                0.98975,                 0.9923,                0.72476,                0.98009,                0.55529,                0.94043,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.0082,                0.57948,                0.94706,                0.99573,                0.98866,                0.99113,                0.71633,                0.98798,                 0.5191,                0.94734,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.0129,                0.56325,                0.94492,                0.99111,                0.99329,                0.99173,                0.72168,                0.98988,                0.53435,                0.94461,             0.00081403,             0.00081403,             0.00081403
                     30,                0.99179,                 0.5606,                0.95211,                0.99568,                0.99056,                0.99225,                0.71071,                0.99524,                0.52621,                0.94875,             0.00080303,             0.00080303,             0.00080303
                     31,                0.98614,                0.55514,                0.94142,                0.99376,                0.99131,                0.99052,                0.71402,                0.99092,                0.52782,                0.94369,             0.00079203,             0.00079203,             0.00079203
                     32,                0.99167,                0.54932,                0.93415,                0.99106,                0.99017,                0.99174,                0.70002,                 1.0436,                0.55271,                0.95465,             0.00078103,             0.00078103,             0.00078103
                     33,                0.99602,                0.54512,                0.94241,                0.98997,                0.98759,                0.99207,                0.70602,                 1.0211,                0.53967,                0.95287,             0.00077003,             0.00077003,             0.00077003
                     34,                0.98816,                0.55511,                0.93205,                0.99486,                0.98534,                 0.9899,                0.71256,                 1.0146,                0.51924,                0.94963,             0.00075904,             0.00075904,             0.00075904
                     35,                0.99051,                0.53912,                0.92786,                0.99559,                0.98671,                0.99057,                0.72861,                0.97509,                0.50932,                0.93926,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.0131,                0.54282,                0.95199,                0.99626,                0.98891,                0.98922,                0.71512,                0.99203,                0.50791,                0.94483,             0.00073704,             0.00073704,             0.00073704
                     37,                0.99823,                0.54092,                0.94097,                0.99187,                 0.9908,                0.99017,                 0.7183,                 1.0024,                  0.508,                0.94559,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.0106,                 0.5258,                0.94208,                0.99552,                0.99103,                0.99125,                 0.7214,                  0.988,                0.50271,                0.94969,             0.00071504,             0.00071504,             0.00071504
                     39,                0.99616,                0.52444,                0.94012,                0.99354,                0.99219,                0.98926,                0.72445,                0.97426,                0.49443,                0.93928,             0.00070404,             0.00070404,             0.00070404
                     40,                0.97765,                0.52742,                0.92917,                0.99578,                0.99036,                0.99107,                0.73132,                0.96831,                0.49079,                0.94069,             0.00069304,             0.00069304,             0.00069304
                     41,                0.97849,                0.52344,                0.93815,                0.99674,                0.99246,                0.98988,                0.72026,                0.99426,                0.49385,                0.94492,             0.00068204,             0.00068204,             0.00068204
                     42,                0.98543,                0.51548,                0.92735,                0.99247,                0.99038,                0.98992,                0.72988,                0.97064,                0.48116,                0.93878,             0.00067104,             0.00067104,             0.00067104
                     43,                0.96301,                0.50467,                0.91922,                0.99045,                0.99131,                0.98969,                0.73008,                0.96565,                0.47931,                0.93454,             0.00066005,             0.00066005,             0.00066005
                     44,                 0.9607,                0.50036,                0.92766,                0.99093,                0.99109,                0.99189,                0.73052,                0.96689,                0.47311,                0.93708,             0.00064905,             0.00064905,             0.00064905
                     45,                  0.962,                0.49901,                0.93279,                0.99238,                0.99125,                0.98772,                0.72168,                0.98868,                0.47049,                0.94143,             0.00063805,             0.00063805,             0.00063805
                     46,                0.97414,                0.50266,                0.92614,                0.99248,                0.98798,                0.98932,                0.72707,                0.96384,                0.46871,                0.93387,             0.00062705,             0.00062705,             0.00062705
                     47,                0.96097,                  0.493,                0.93651,                0.99487,                0.99011,                0.98922,                0.72584,                0.97018,                0.48136,                0.93397,             0.00061605,             0.00061605,             0.00061605
                     48,                0.96973,                0.51206,                 0.9271,                0.99436,                0.99119,                0.99109,                0.73094,                0.95611,                0.46305,                0.93234,             0.00060505,             0.00060505,             0.00060505
                     49,                 0.9715,                0.50641,                0.93248,                0.99251,                0.99446,                0.99114,                0.73697,                0.95793,                0.46637,                0.92866,             0.00059405,             0.00059405,             0.00059405
                     50,                0.96005,                0.48212,                0.93188,                0.99313,                0.99413,                0.99099,                0.73286,                0.95485,                 0.4612,                0.93154,             0.00058305,             0.00058305,             0.00058305
                     51,                0.96074,                 0.5002,                0.92969,                0.99261,                0.99323,                0.99101,                0.73701,                0.96199,                0.45726,                0.93427,             0.00057205,             0.00057205,             0.00057205
                     52,                0.96357,                0.48942,                0.91824,                0.99272,                0.99286,                0.99133,                0.73059,                0.96756,                0.45857,                 0.9337,             0.00056105,             0.00056105,             0.00056105
                     53,                0.94924,                0.47708,                0.91824,                0.99394,                0.99447,                0.99193,                0.72974,                0.95574,                0.45144,                 0.9321,             0.00055006,             0.00055006,             0.00055006
                     54,                0.93362,                0.48071,                0.90992,                0.99462,                0.99487,                0.99094,                 0.7271,                0.95315,                0.44982,                 0.9304,             0.00053906,             0.00053906,             0.00053906
                     55,                0.96076,                0.48304,                0.92295,                0.99479,                0.99329,                0.99079,                0.73049,                0.95266,                0.45077,                0.93131,             0.00052806,             0.00052806,             0.00052806
                     56,                0.92488,                0.46405,                0.91786,                0.99361,                0.99296,                0.98893,                0.73251,                0.95314,                0.44212,                0.92891,             0.00051706,             0.00051706,             0.00051706
                     57,                0.95314,                0.46176,                0.92315,                0.99277,                0.99381,                 0.9912,                0.73715,                0.95254,                 0.4391,                0.93127,             0.00050606,             0.00050606,             0.00050606
                     58,                0.95502,                0.47566,                0.93567,                0.99377,                 0.9921,                0.99238,                0.74677,                0.93767,                0.43411,                0.92734,             0.00049506,             0.00049506,             0.00049506
                     59,                0.94656,                 0.4721,                0.92199,                0.99365,                0.99232,                0.99156,                0.74392,                0.93658,                0.45314,                0.92743,             0.00048406,             0.00048406,             0.00048406
                     60,                0.95906,                0.46454,                0.94098,                 0.9947,                0.98843,                 0.9913,                0.73651,                0.94471,                0.44258,                0.92992,             0.00047306,             0.00047306,             0.00047306
                     61,                 0.9381,                0.45851,                 0.9224,                 0.9928,                0.99056,                 0.9901,                 0.7302,                0.95574,                0.44505,                0.93227,             0.00046206,             0.00046206,             0.00046206
                     62,                0.96159,                0.47753,                0.91676,                0.99419,                0.98898,                0.98992,                0.73096,                0.94929,                0.43783,                0.93055,             0.00045107,             0.00045107,             0.00045107
                     63,                0.96327,                0.47649,                0.92324,                0.99039,                0.99277,                0.99002,                0.73244,                0.95565,                0.43532,                0.93245,             0.00044007,             0.00044007,             0.00044007
                     64,                 0.9533,                0.46313,                0.94015,                 0.9942,                0.98981,                 0.9894,                0.74171,                0.93128,                0.43865,                 0.9249,             0.00042907,             0.00042907,             0.00042907
                     65,                0.96224,                0.45953,                0.93604,                0.99215,                0.99296,                0.98914,                0.74001,                0.93978,                0.42681,                0.93106,             0.00041807,             0.00041807,             0.00041807
                     66,                0.94218,                 0.4578,                0.92353,                 0.9936,                0.99127,                0.98923,                0.74302,                0.93417,                0.43524,                0.92553,             0.00040707,             0.00040707,             0.00040707
                     67,                 0.9503,                0.45305,                0.91693,                0.99367,                0.99364,                0.98927,                0.74332,                0.93849,                0.41949,                0.92714,             0.00039607,             0.00039607,             0.00039607
                     68,                0.94883,                0.44828,                0.92312,                0.99296,                0.99254,                0.99108,                0.74655,                0.92943,                 0.4233,                0.92414,             0.00038507,             0.00038507,             0.00038507
