                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0824,                  4.112,                 1.5226,                0.00963,                0.26913,                0.17473,                0.12538,                 1.4232,                 4.0866,                 1.1305,             0.00016665,             0.00016665,             0.00016665
                      2,                 1.5126,                 2.3256,                  1.088,                      1,                0.03686,                0.39316,                 0.2484,                 1.3208,                 3.6327,                 1.0079,             0.00033759,             0.00033759,             0.00033759
                      3,                 1.3199,                 1.4174,                 1.0337,                0.01607,                0.71358,                0.58947,                0.35948,                 1.3205,                   3.42,                 1.0601,             0.00050149,             0.00050149,             0.00050149
                      4,                 1.1775,                 1.0668,                 0.9855,                      1,                0.38617,                0.95551,                0.65011,                 1.0909,                 2.6039,                0.95546,             0.00065835,             0.00065835,             0.00065835
                      5,                  1.157,                 1.0206,                0.99935,                0.99715,                0.57905,                0.96525,                0.66365,                 1.1154,                 2.1521,                0.94545,             0.00080818,             0.00080818,             0.00080818
                      6,                 1.1655,                0.96387,                 1.0065,                0.98999,                0.84572,                0.97853,                0.67976,                 1.0978,                 1.5989,                0.96329,             0.00095096,             0.00095096,             0.00095096
                      7,                 1.1064,                0.93154,                 1.0002,                0.98228,                0.94774,                0.98123,                0.67231,                 1.1108,                 1.2808,                 1.0095,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.0809,                0.87509,                 0.9973,                0.97942,                0.97704,                0.98241,                0.68439,                 1.0705,                 1.1222,                 0.9872,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.0837,                0.84355,                0.98034,                0.97876,                0.97898,                0.98232,                0.67907,                 1.0694,                 1.0268,                0.98721,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.1023,                 0.8112,                0.99064,                 0.9925,                0.97912,                0.98269,                0.69925,                   1.03,                0.84088,                0.98537,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.0929,                 0.7766,                0.97744,                0.99425,                0.98406,                0.98296,                0.68558,                  1.041,                0.87254,                0.97641,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.0505,                 0.7756,                0.97089,                 0.9883,                0.98332,                0.98302,                0.68183,                 1.0362,                0.82396,                 1.0037,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.0465,                0.74058,                 0.9786,                0.99244,                0.98483,                0.98585,                0.69087,                  1.038,                0.73864,                  1.012,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.0637,                0.73887,                0.97243,                0.99204,                0.98659,                0.98549,                0.69073,                 1.0257,                0.72874,                 0.9818,             0.00084703,             0.00084703,             0.00084703
                     15,                  1.018,                0.70114,                0.96968,                0.99256,                0.98594,                0.98821,                0.69395,                 1.0352,                0.72026,                 0.9826,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.0306,                0.71585,                0.95894,                0.99423,                 0.9854,                0.98621,                0.68991,                 1.0596,                0.71275,                0.99221,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.0514,                0.69291,                0.96322,                0.99469,                0.98475,                0.98809,                0.70601,                 0.9966,                 0.7033,                0.96913,             0.00078103,             0.00078103,             0.00078103
                     18,                  1.008,                0.68393,                0.96962,                0.99623,                0.98522,                0.98747,                0.71188,                0.98546,                0.64525,                0.97502,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.0158,                0.67411,                0.96285,                0.99495,                0.98569,                 0.9872,                0.70605,                0.98983,                0.65794,                0.97222,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.0156,                0.63932,                0.96584,                0.99486,                0.98672,                0.98941,                0.71187,                0.99311,                0.64102,                0.96758,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.0321,                0.64326,                0.96444,                0.99315,                0.98606,                0.98789,                0.70417,                 1.0065,                0.63278,                0.97118,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.0483,                0.66037,                0.98233,                0.99505,                0.98639,                0.98789,                0.70653,                0.98773,                 0.6217,                0.96732,             0.00067104,             0.00067104,             0.00067104
                     23,                0.99869,                0.63545,                0.95729,                0.99582,                0.98508,                0.98799,                0.71176,                0.98752,                0.59809,                0.97156,             0.00064905,             0.00064905,             0.00064905
