                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8997,                 3.9396,                 1.3625,                0.00627,                0.40061,                0.24428,                0.16595,                 1.3559,                 3.8445,                 1.0692,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3549,                 1.9142,                 1.0303,                      1,                0.14243,                0.43392,                0.30482,                 1.1855,                 3.1656,                0.98214,             0.00037791,             0.00037791,             0.00037791
                      3,                 1.1898,                 1.2117,                0.98663,                0.01387,                0.92889,                0.86422,                0.60494,                  1.074,                 3.0011,                0.95262,             0.00055842,             0.00055842,             0.00055842
                      4,                 1.1273,                 1.0339,                0.96907,                      1,                0.18629,                0.91604,                0.63975,                 1.0469,                 2.7726,                0.94668,             0.00072903,             0.00072903,             0.00072903
                      5,                 1.1076,                0.93969,                0.98075,                0.97971,                0.47226,                0.97035,                0.67608,                 1.0571,                 2.2207,                0.95445,             0.00088974,             0.00088974,             0.00088974
                      6,                 1.0688,                0.93507,                0.97111,                0.98294,                0.51377,                0.97527,                0.69356,                 1.0396,                 1.8329,                0.94516,              0.0010405,              0.0010405,              0.0010405
                      7,                 1.1169,                0.89329,                0.98419,                0.99256,                0.96068,                0.98139,                0.69515,                 1.0422,                   1.18,                0.95331,              0.0010644,              0.0010644,              0.0010644
                      8,                  1.042,                0.85478,                0.96865,                0.99026,                0.97838,                0.98138,                0.70801,                 1.0051,                0.85327,                0.94022,              0.0010644,              0.0010644,              0.0010644
                      9,                 1.0241,                0.78522,                0.94026,                0.98475,                0.98186,                0.97973,                0.70332,                 1.0056,                0.82416,                0.94678,              0.0010334,              0.0010334,              0.0010334
                     10,                 1.0352,                0.78363,                0.95727,                0.98936,                0.98214,                0.98418,                0.70655,                0.99686,                0.84578,                0.93664,              0.0010025,              0.0010025,              0.0010025
                     11,                  1.031,                0.75537,                 0.9506,                 0.9691,                0.96032,                0.98419,                0.70469,                0.98768,                0.93458,                0.93774,             0.00097156,             0.00097156,             0.00097156
                     12,                 1.0195,                0.73082,                0.94807,                0.98779,                0.98444,                0.98483,                0.70904,                0.97682,                0.71327,                0.93094,             0.00094062,             0.00094062,             0.00094062
                     13,                  1.059,                0.71904,                0.95586,                0.99367,                0.98233,                0.98247,                0.69922,                  0.998,                 0.6807,                0.93873,             0.00090969,             0.00090969,             0.00090969
                     14,                 1.0172,                0.67587,                0.94996,                0.98928,                0.98319,                0.98279,                0.69641,                0.99383,                 0.6714,                0.93728,             0.00087875,             0.00087875,             0.00087875
                     15,                0.95848,                 0.6462,                0.92738,                0.99227,                0.98605,                0.98421,                0.71899,                 0.9604,                0.65699,                0.92904,             0.00084781,             0.00084781,             0.00084781
                     16,                0.99673,                0.65767,                0.94021,                 0.9949,                0.98681,                 0.9857,                0.72221,                0.95178,                   0.63,                0.92977,             0.00081688,             0.00081688,             0.00081688
                     17,                 1.0285,                0.64922,                0.96714,                0.99144,                0.98633,                 0.9872,                0.71421,                0.98039,                0.65616,                0.93021,             0.00078594,             0.00078594,             0.00078594
                     18,                 1.0077,                 0.6528,                0.94062,                0.99216,                0.98317,                0.98669,                0.70987,                 1.0004,                0.62523,                0.94125,               0.000755,               0.000755,               0.000755
                     19,                0.99721,                0.63116,                0.94601,                0.99155,                0.98444,                0.98831,                0.72069,                0.94818,                0.60219,                0.92578,             0.00072406,             0.00072406,             0.00072406
                     20,                0.94663,                0.59894,                0.92878,                0.99241,                0.98265,                 0.9883,                0.72213,                0.95034,                0.58053,                0.92684,             0.00069313,             0.00069313,             0.00069313
                     21,                0.98093,                0.59722,                0.93687,                0.99455,                0.98681,                0.98826,                0.72135,                0.95034,                0.57991,                0.92366,             0.00066219,             0.00066219,             0.00066219
                     22,                0.97721,                0.60069,                0.93562,                0.99402,                0.98681,                0.98823,                0.72524,                0.93604,                0.56413,                0.91917,             0.00063125,             0.00063125,             0.00063125
                     23,                 0.9532,                0.57738,                0.92729,                0.99479,                0.99052,                0.98842,                0.72855,                 0.9451,                0.55352,                0.92307,             0.00060031,             0.00060031,             0.00060031
                     24,                0.95664,                0.57165,                0.93537,                0.99389,                0.98987,                0.98877,                0.73912,                 0.9402,                0.55778,                0.91845,             0.00056938,             0.00056938,             0.00056938
                     25,                  0.978,                0.57924,                0.93062,                0.99551,                0.98712,                0.99012,                0.73385,                0.93716,                0.55325,                0.91965,             0.00053844,             0.00053844,             0.00053844
                     26,                0.98646,                0.57923,                0.92147,                0.99338,                0.99211,                0.98987,                0.73846,                0.93514,                0.54802,                0.91909,              0.0005075,              0.0005075,              0.0005075
                     27,                0.95554,                0.55621,                0.92093,                0.99103,                0.98951,                0.98926,                0.73099,                 0.9272,                0.52658,                0.91363,             0.00047656,             0.00047656,             0.00047656
                     28,                0.96112,                 0.5554,                0.92437,                0.98883,                0.99079,                 0.9895,                0.73608,                0.95025,                0.54036,                0.92181,             0.00044563,             0.00044563,             0.00044563
                     29,                0.96695,                0.55534,                0.92783,                0.99032,                0.99055,                0.99045,                0.73415,                0.94287,                0.52604,                0.92016,             0.00041469,             0.00041469,             0.00041469
                     30,                0.94249,                0.53479,                0.92906,                0.99218,                0.99141,                0.99034,                0.73712,                0.92941,                 0.5184,                0.91631,             0.00038375,             0.00038375,             0.00038375
                     31,                0.94933,                0.55124,                0.94496,                0.99254,                0.98871,                0.98944,                0.74032,                0.93538,                0.54334,                0.91449,             0.00035281,             0.00035281,             0.00035281
                     32,                0.93348,                0.54409,                0.93703,                 0.9945,                0.98727,                0.98973,                 0.7376,                0.92176,                0.50705,                0.91416,             0.00032188,             0.00032188,             0.00032188
                     33,                0.92883,                0.53294,                0.92604,                0.99486,                0.98936,                0.99031,                0.73398,                0.92775,                0.51843,                0.91578,             0.00029094,             0.00029094,             0.00029094
                     34,                0.95324,                0.55233,                0.92795,                0.99515,                0.98821,                0.99055,                0.74121,                0.92226,                0.51279,                0.91325,                0.00026,                0.00026,                0.00026
                     35,                0.93507,                0.52173,                0.92253,                0.99328,                0.98864,                0.98991,                0.72892,                0.91675,                0.50149,                0.91135,             0.00022906,             0.00022906,             0.00022906
                     36,                0.91585,                0.51037,                0.92356,                0.99453,                0.99094,                0.99026,                0.74123,                0.90468,                0.49498,                0.90809,             0.00019813,             0.00019813,             0.00019813
                     37,                0.91271,                0.50183,                0.92861,                0.99242,                0.99086,                0.99049,                0.74376,                0.90729,                0.48881,                0.90805,             0.00016719,             0.00016719,             0.00016719
