                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9484,                 3.9229,                 1.3634,                0.73946,                0.38394,                 0.2708,                0.17461,                 1.4779,                  3.784,                 1.0806,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.4031,                  1.987,                 1.0556,                0.98006,                0.11464,                 0.4527,                0.30092,                  1.225,                 3.2421,                0.98845,             0.00037983,             0.00037983,             0.00037983
                      3,                 1.2072,                 1.3187,                0.99065,                0.01407,                0.84992,                0.70213,                0.47339,                 1.2006,                 3.1315,                0.98552,             0.00056423,             0.00056423,             0.00056423
                      4,                 1.1039,                0.99287,                0.96739,                0.99701,                0.36651,                0.87457,                0.61487,                 1.0599,                 2.6521,                0.96066,             0.00074072,             0.00074072,             0.00074072
                      5,                 1.0846,                0.95456,                0.96877,                 0.9973,                0.49656,                0.92959,                0.64922,                  1.064,                  2.238,                 0.9645,             0.00090929,             0.00090929,             0.00090929
                      6,                 1.0689,                 0.8796,                0.95854,                 0.9685,                0.80117,                0.98231,                0.69132,                 1.0143,                 1.5658,                0.94953,              0.0010699,              0.0010699,              0.0010699
                      7,                 1.0671,                0.82911,                0.96177,                0.96749,                0.93612,                0.97556,                0.68993,                  1.003,                 1.2385,                0.94724,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.0229,                0.85558,                0.94621,                0.98368,                0.97626,                0.97949,                0.70109,                0.99959,                0.98311,                 0.9456,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.0311,                0.76763,                0.94955,                0.98565,                0.97554,                0.98268,                0.68146,                 1.0782,                0.81028,                0.97622,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.0622,                0.79522,                0.95947,                0.99115,                0.98152,                0.98166,                0.70507,                0.98827,                 0.7334,                0.94527,               0.001052,               0.001052,               0.001052
                     11,                 1.0394,                0.75538,                0.96554,                0.99253,                0.98571,                0.98511,                0.70785,                 0.9974,                0.73029,                0.94762,              0.0010273,              0.0010273,              0.0010273
                     12,                  1.011,                0.72351,                0.94868,                0.99365,                0.98634,                0.98558,                0.70661,                0.99532,                0.72585,                0.94129,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.0505,                0.72787,                0.95458,                0.98346,                0.98548,                0.98373,                0.71147,                 0.9816,                0.70399,                0.93897,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.0128,                0.70019,                0.94265,                0.98785,                0.98352,                0.98372,                0.71636,                0.96225,                0.66902,                0.93299,               0.000953,               0.000953,               0.000953
