                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9402,                 3.9622,                 1.3848,                0.00677,                0.39532,                0.25954,                0.16303,                 1.4182,                 3.8215,                 1.0687,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3768,                 1.9488,                  1.051,                0.99391,                0.20318,                0.39514,                0.27066,                 1.2704,                 3.4708,                 1.0292,             0.00037791,             0.00037791,             0.00037791
                      3,                 1.1809,                 1.2819,                0.98679,                0.01805,                0.93404,                0.85762,                0.56823,                 1.2286,                 3.0538,                 1.0112,             0.00055842,             0.00055842,             0.00055842
                      4,                 1.1192,                0.99949,                 0.9723,                 0.9968,                0.33199,                0.87489,                0.61075,                 1.0717,                 2.5986,                 0.9649,             0.00072903,             0.00072903,             0.00072903
                      5,                 1.0901,                0.96959,                0.97108,                0.99729,                0.50458,                0.97763,                0.68109,                 1.0648,                 2.1015,                0.96883,             0.00088974,             0.00088974,             0.00088974
                      6,                 1.0754,                0.88643,                 0.9602,                0.98292,                0.79065,                0.97788,                0.68716,                 1.0164,                 1.4677,                0.95221,              0.0010405,              0.0010405,              0.0010405
                      7,                 1.0554,                0.82278,                0.95934,                0.98708,                0.91807,                 0.9768,                0.68752,                 1.0225,                 1.2586,                0.95492,              0.0010644,              0.0010644,              0.0010644
                      8,                 1.0229,                0.84408,                0.94523,                0.99053,                0.97974,                0.98083,                0.70214,                 1.0063,                 1.0204,                0.94843,              0.0010644,              0.0010644,              0.0010644
                      9,                 1.0344,                0.78517,                0.95352,                0.99256,                0.98561,                0.98249,                0.69414,                 1.0288,                0.84253,                 0.9569,              0.0010334,              0.0010334,              0.0010334
                     10,                 1.0553,                0.79181,                0.96015,                0.99109,                0.98183,                0.98241,                0.70921,                0.97981,                0.79039,                0.94113,              0.0010025,              0.0010025,              0.0010025
                     11,                 1.0254,                0.74034,                0.96363,                0.99118,                0.98153,                0.98261,                0.71219,                0.98773,                0.74165,                0.94293,             0.00097156,             0.00097156,             0.00097156
                     12,                 1.0009,                0.72144,                0.94638,                0.99024,                0.98233,                0.98571,                0.71047,                0.98214,                0.69556,                0.93945,             0.00094062,             0.00094062,             0.00094062
                     13,                 1.0357,                0.70905,                0.95235,                0.99194,                 0.9831,                0.98665,                0.71943,                0.95993,                 0.6681,                0.93058,             0.00090969,             0.00090969,             0.00090969
                     14,                 1.0047,                0.67708,                0.93906,                0.98787,                0.98822,                0.98563,                0.71336,                0.96355,                0.68018,                0.93245,             0.00087875,             0.00087875,             0.00087875
                     15,                0.97817,                0.66224,                 0.9354,                0.99009,                0.98329,                0.98599,                 0.7159,                0.96495,                 0.6544,                0.93317,             0.00084781,             0.00084781,             0.00084781
                     16,                 1.0294,                0.69018,                0.94916,                0.98823,                 0.9861,                0.98626,                0.71911,                0.96315,                 0.6419,                0.93334,             0.00081688,             0.00081688,             0.00081688
                     17,                0.97634,                0.64469,                 0.9286,                0.99184,                0.98445,                0.98544,                0.72348,                0.94565,                 0.6326,                0.92325,             0.00078594,             0.00078594,             0.00078594
                     18,                0.98462,                0.63067,                0.93635,                0.99132,                0.98459,                 0.9877,                0.72727,                0.93936,                0.60723,                0.92414,               0.000755,               0.000755,               0.000755
                     19,                0.95732,                0.61586,                0.93303,                0.99238,                0.98313,                 0.9879,                0.72952,                0.93088,                0.59057,                0.92046,             0.00072406,             0.00072406,             0.00072406
                     20,                 1.0074,                0.60338,                0.93009,                0.99422,                0.98433,                0.98665,                0.72795,                0.95329,                0.57535,                0.93019,             0.00069313,             0.00069313,             0.00069313
                     21,                0.95944,                0.58367,                0.92182,                0.98843,                0.98809,                0.98845,                0.72509,                0.96504,                0.57642,                0.93106,             0.00066219,             0.00066219,             0.00066219
                     22,                 1.0088,                0.59798,                0.94317,                 0.9926,                0.98681,                0.98604,                0.71821,                0.95282,                0.57638,                0.92504,             0.00063125,             0.00063125,             0.00063125
